cg08169020,chr14:68790171-68790172 - 2bp, 1CpGs: 20366646-20366647
cg04276669,chr4:26318245-26318246 - 2bp, 1CpGs: 6555884-6555885
cg11730703,chr14:104701270-104701271 - 2bp, 1CpGs: 20772895-20772896
cg27286011,chr14:104701237-104701238 - 2bp, 1CpGs: 20772894-20772895
cg25196715,chr1:94024235-94024236 - 2bp, 1CpGs: 1096062-1096063
cg27259391,chr16:29303097-29303098 - 2bp, 1CpGs: 22174359-22174360
cg11987455,chr1:42825163-42825164 - 2bp, 1CpGs: 679581-679582
cg13363640,chr11:2964072-2964073 - 2bp, 1CpGs: 16506261-16506262
cg07986378,chr12:11745350-11745351 - 2bp, 1CpGs: 17909139-17909140
cg19382157,chr7:2084931-2084932 - 2bp, 1CpGs: 10887420-10887421
cg08223760,chr1:42825538-42825539 - 2bp, 1CpGs: 679586-679587
cg06857116,chr17:15982012-15982013 - 2bp, 1CpGs: 23130481-23130482
cg01742370,chr1:228164711-228164712 - 2bp, 1CpGs: 2146256-2146257
cg12298872,chr1:228164748-228164749 - 2bp, 1CpGs: 2146257-2146258
cg04141129,chr12:32377762-32377763 - 2bp, 1CpGs: 18074292-18074293
cg10443146,chr2:169923259-169923260 - 2bp, 1CpGs: 3899844-3899845
cg26136776,chr19:12887612-12887613 - 2bp, 1CpGs: 25204772-25204773
cg11896104,chr19:12887621-12887622 - 2bp, 1CpGs: 25204773-25204774
cg01335658,chr10:129769270-129769271 - 2bp, 1CpGs: 16339579-16339580
cg03325598,chr3:12953377-12953378 - 2bp, 1CpGs: 4688485-4688486
cg05286196,chr3:12953419-12953420 - 2bp, 1CpGs: 4688487-4688488
cg26396815,chr4:101956975-101956976 - 2bp, 1CpGs: 7092374-7092375
cg19232164,chr11:114450002-114450003 - 2bp, 1CpGs: 17530146-17530147
cg00308936,chr1:85417982-85417983 - 2bp, 1CpGs: 1026954-1026955
cg22987457,chr7:157418867-157418868 - 2bp, 1CpGs: 12404110-12404111
cg26806603,chr7:142962291-142962292 - 2bp, 1CpGs: 12225871-12225872
cg17784922,chr7:142962338-142962339 - 2bp, 1CpGs: 12225872-12225873
cg10668363,chr19:51573438-51573439 - 2bp, 1CpGs: 25855572-25855573
cg06408559,chr1:212789750-212789751 - 2bp, 1CpGs: 2007484-2007485
cg08806644,chr12:123148278-123148279 - 2bp, 1CpGs: 18912184-18912185
cg23812679,chr3:57999726-57999727 - 2bp, 1CpGs: 5109120-5109121
cg26420795,chr21:46031697-46031698 - 2bp, 1CpGs: 27203622-27203623
cg15982099,chr11:47378262-47378263 - 2bp, 1CpGs: 16874757-16874758
cg19135352,chr17:16273577-16273578 - 2bp, 1CpGs: 23134040-23134041
cg16729016,chr1:213124718-213124719 - 2bp, 1CpGs: 2011393-2011394
cg11787626,chr1:147761630-147761631 - 2bp, 1CpGs: 1429101-1429102
cg21267551,chr1:147761635-147761636 - 2bp, 1CpGs: 1429102-1429103
cg04784315,chr9:123035005-123035006 - 2bp, 1CpGs: 14728321-14728322
cg25721818,chr12:54296132-54296133 - 2bp, 1CpGs: 18299107-18299108
cg10108888,chr7:77434968-77434969 - 2bp, 1CpGs: 11678855-11678856
cg03290602,chr14:101047714-101047715 - 2bp, 1CpGs: 20701244-20701245
cg19071507,chr2:70005437-70005438 - 2bp, 1CpGs: 3045807-3045808
cg07185119,chr2:31236977-31236978 - 2bp, 1CpGs: 2714497-2714498
cg01044465,chr19:42410533-42410534 - 2bp, 1CpGs: 25677592-25677593
cg08502383,chr19:1377234-1377235 - 2bp, 1CpGs: 24924739-24924740
cg01537765,chr19:42410676-42410677 - 2bp, 1CpGs: 25677601-25677602
cg13052101,chr11:68750061-68750062 - 2bp, 1CpGs: 17146055-17146056
cg14043593,chr19:47716954-47716955 - 2bp, 1CpGs: 25770510-25770511
cg05342467,chr7:1990097-1990098 - 2bp, 1CpGs: 10884423-10884424
cg19601293,chr7:1990117-1990118 - 2bp, 1CpGs: 10884426-10884427
cg01879273,chr2:235597769-235597770 - 2bp, 1CpGs: 4448659-4448660
cg06651376,chr17:1787500-1787501 - 2bp, 1CpGs: 22916098-22916099
cg11274148,chr17:80902856-80902857 - 2bp, 1CpGs: 24047649-24047650
cg14038482,chr1:8324424-8324425 - 2bp, 1CpGs: 178986-178987
cg06723421,chr1:8324380-8324381 - 2bp, 1CpGs: 178984-178985
cg15575320,chr1:8324453-8324454 - 2bp, 1CpGs: 178989-178990
cg26065792,chr5:4023638-4023639 - 2bp, 1CpGs: 7825033-7825034
cg07949777,chr2:127631301-127631302 - 2bp, 1CpGs: 3583883-3583884
cg00953309,chr1:16134289-16134290 - 2bp, 1CpGs: 304127-304128
cg01772149,chr1:3121652-3121653 - 2bp, 1CpGs: 83145-83146
cg05721751,chr10:1665382-1665383 - 2bp, 1CpGs: 15070204-15070205
cg25379549,chr10:1665375-1665376 - 2bp, 1CpGs: 15070203-15070204
cg11351958,chr11:75566746-75566747 - 2bp, 1CpGs: 17245189-17245190
cg17522332,chr10:1665329-1665330 - 2bp, 1CpGs: 15070200-15070201
cg05721751,chr10:1665382-1665383 - 2bp, 1CpGs: 15070204-15070205
cg25379549,chr10:1665375-1665376 - 2bp, 1CpGs: 15070203-15070204
cg02353814,chr5:135810971-135810972 - 2bp, 1CpGs: 8837995-8837996
cg21555471,chr15:40768003-40768004 - 2bp, 1CpGs: 21066788-21066789
cg23022656,chr1:42162914-42162915 - 2bp, 1CpGs: 672624-672625
cg17522332,chr10:1665329-1665330 - 2bp, 1CpGs: 15070200-15070201
cg25379549,chr10:1665375-1665376 - 2bp, 1CpGs: 15070203-15070204
cg05643613,chr3:11551175-11551176 - 2bp, 1CpGs: 4670350-4670351
cg07055259,chr2:235392211-235392212 - 2bp, 1CpGs: 4445412-4445413
cg26080331,chr13:112959004-112959005 - 2bp, 1CpGs: 19883744-19883745
cg04081844,chr13:112958958-112958959 - 2bp, 1CpGs: 19883742-19883743
cg10634728,chr19:418906-418907 - 2bp, 1CpGs: 24883568-24883569
cg18328265,chr19:418899-418900 - 2bp, 1CpGs: 24883567-24883568
cg27290274,chr1:15060243-15060244 - 2bp, 1CpGs: 284803-284804
cg00838040,chr16:84413313-84413314 - 2bp, 1CpGs: 22728970-22728971
cg17858500,chr20:3754078-3754079 - 2bp, 1CpGs: 26030564-26030565
cg25283432,chr12:124798015-124798016 - 2bp, 1CpGs: 18944488-18944489
cg03034934,chr16:88898636-88898637 - 2bp, 1CpGs: 22834701-22834702
cg06210783,chr11:68437867-68437868 - 2bp, 1CpGs: 17141334-17141335
cg22432760,chr17:82871842-82871843 - 2bp, 1CpGs: 24109511-24109512
cg10634728,chr19:418906-418907 - 2bp, 1CpGs: 24883568-24883569
cg18328265,chr19:418899-418900 - 2bp, 1CpGs: 24883567-24883568
cg12257170,chr19:2222027-2222028 - 2bp, 1CpGs: 24956783-24956784
cg09577425,chr6:163310946-163310947 - 2bp, 1CpGs: 10716485-10716486
cg06991955,chr16:2064231-2064232 - 2bp, 1CpGs: 21794632-21794633
cg18641463,chr7:2104944-2104945 - 2bp, 1CpGs: 10888064-10888065
cg27083825,chr6:158032562-158032563 - 2bp, 1CpGs: 10655518-10655519
cg21592241,chr11:2713896-2713897 - 2bp, 1CpGs: 16500214-16500215
cg05342467,chr7:1990097-1990098 - 2bp, 1CpGs: 10884423-10884424
cg19601293,chr7:1990117-1990118 - 2bp, 1CpGs: 10884426-10884427
cg22396632,chr1:3162648-3162649 - 2bp, 1CpGs: 84424-84425
cg20640374,chr15:31063101-31063102 - 2bp, 1CpGs: 20974588-20974589
cg14393952,chr18:58772004-58772005 - 2bp, 1CpGs: 24659865-24659866
cg14284797,chr9:133679934-133679935 - 2bp, 1CpGs: 14914675-14914676
cg14329833,chr7:135165691-135165692 - 2bp, 1CpGs: 12147940-12147941
cg14660539,chr6:3280401-3280402 - 2bp, 1CpGs: 9356179-9356180
cg18327049,chr14:103004001-103004002 - 2bp, 1CpGs: 20736869-20736870
cg13496790,chr3:66405314-66405315 - 2bp, 1CpGs: 5178192-5178193
cg14858786,chr12:6327510-6327511 - 2bp, 1CpGs: 17846966-17846967
cg00715343,chr17:78175764-78175765 - 2bp, 1CpGs: 23983710-23983711
cg05740106,chr6:168873251-168873252 - 2bp, 1CpGs: 10791592-10791593
cg20876525,chr6:168873287-168873288 - 2bp, 1CpGs: 10791597-10791598
cg11387916,chr6:168873237-168873238 - 2bp, 1CpGs: 10791590-10791591
cg22770294,chr4:3307206-3307207 - 2bp, 1CpGs: 6316291-6316292
cg00667841,chr4:3307157-3307158 - 2bp, 1CpGs: 6316287-6316288
cg20163085,chr1:10450339-10450340 - 2bp, 1CpGs: 216254-216255
cg05837235,chr17:79047733-79047734 - 2bp, 1CpGs: 24003209-24003210
cg18045556,chr22:39231781-39231782 - 2bp, 1CpGs: 27623777-27623778
cg01413848,chr1:3164662-3164663 - 2bp, 1CpGs: 84505-84506
cg05229649,chr10:101005647-101005648 - 2bp, 1CpGs: 16031987-16031988
cg18326783,chr10:101005607-101005608 - 2bp, 1CpGs: 16031983-16031984
cg07805940,chr12:130424468-130424469 - 2bp, 1CpGs: 19011550-19011551
cg07455504,chr16:1030144-1030145 - 2bp, 1CpGs: 21757943-21757944
cg15168958,chr13:98448274-98448275 - 2bp, 1CpGs: 19727088-19727089
cg17380943,chr13:98448252-98448253 - 2bp, 1CpGs: 19727087-19727088
cg04432275,chr3:70852377-70852378 - 2bp, 1CpGs: 5210908-5210909
cg24863254,chr3:70852328-70852329 - 2bp, 1CpGs: 5210907-5210908
cg04056669,chr3:195887188-195887189 - 2bp, 1CpGs: 6202339-6202340
cg12602405,chr17:81489798-81489799 - 2bp, 1CpGs: 24067570-24067571
cg24679453,chr1:3162505-3162506 - 2bp, 1CpGs: 84415-84416
cg19637686,chr12:132247816-132247817 - 2bp, 1CpGs: 19050383-19050384
cg16601444,chr19:46710927-46710928 - 2bp, 1CpGs: 25747632-25747633
cg25729585,chr1:203087347-203087348 - 2bp, 1CpGs: 1908288-1908289
cg15470344,chr1:203087376-203087377 - 2bp, 1CpGs: 1908290-1908291
cg26032417,chr2:240245809-240245810 - 2bp, 1CpGs: 4524924-4524925
cg11924452,chr2:240245781-240245782 - 2bp, 1CpGs: 4524923-4524924
cg26328150,chr8:139737134-139737135 - 2bp, 1CpGs: 13661137-13661138
cg08255187,chr22:39231684-39231685 - 2bp, 1CpGs: 27623767-27623768
cg23046231,chr2:200477859-200477860 - 2bp, 1CpGs: 4119983-4119984
cg03490289,chr8:48816694-48816695 - 2bp, 1CpGs: 12984058-12984059
cg03531984,chr17:3597080-3597081 - 2bp, 1CpGs: 22950287-22950288
cg09837481,chr17:3597089-3597090 - 2bp, 1CpGs: 22950288-22950289
cg11106060,chr17:3597123-3597124 - 2bp, 1CpGs: 22950291-22950292
cg18100532,chr17:3597114-3597115 - 2bp, 1CpGs: 22950290-22950291
cg14762845,chr17:3597096-3597097 - 2bp, 1CpGs: 22950289-22950290
cg26855231,chr17:46172177-46172178 - 2bp, 1CpGs: 23581639-23581640
cg14374015,chr17:46172203-46172204 - 2bp, 1CpGs: 23581642-23581643
cg22758834,chr7:95592792-95592793 - 2bp, 1CpGs: 11794820-11794821
cg18564849,chr1:230822995-230822996 - 2bp, 1CpGs: 2182624-2182625
cg11516540,chr7:4703763-4703764 - 2bp, 1CpGs: 10935230-10935231
cg14012264,chr7:4703795-4703796 - 2bp, 1CpGs: 10935231-10935232
cg19080320,chr7:4703715-4703716 - 2bp, 1CpGs: 10935227-10935228
cg08722200,chr20:57385464-57385465 - 2bp, 1CpGs: 26616669-26616670
cg00972522,chr16:1911952-1911953 - 2bp, 1CpGs: 21788909-21788910
cg14247862,chr17:82806755-82806756 - 2bp, 1CpGs: 24107745-24107746
cg03307425,chr4:873023-873024 - 2bp, 1CpGs: 6257749-6257750
cg25950036,chr7:158550242-158550243 - 2bp, 1CpGs: 12431778-12431779
cg11060349,chr7:158550271-158550272 - 2bp, 1CpGs: 12431781-12431782
cg23949969,chr5:180792412-180792413 - 2bp, 1CpGs: 9299872-9299873
cg22001208,chr19:18671564-18671565 - 2bp, 1CpGs: 25325983-25325984
cg13312036,chr17:1482980-1482981 - 2bp, 1CpGs: 22907317-22907318
cg12218126,chr19:42408334-42408335 - 2bp, 1CpGs: 25677545-25677546
cg27116577,chr16:962601-962602 - 2bp, 1CpGs: 21755196-21755197
cg13253153,chr11:2805758-2805759 - 2bp, 1CpGs: 16502187-16502188
cg12851635,chr11:2805721-2805722 - 2bp, 1CpGs: 16502186-16502187
cg06595211,chr16:3949187-3949188 - 2bp, 1CpGs: 21843301-21843302
cg02627286,chr16:89524175-89524176 - 2bp, 1CpGs: 22853587-22853588
cg14717314,chr7:139542365-139542366 - 2bp, 1CpGs: 12189220-12189221
cg03658690,chr6:31724483-31724484 - 2bp, 1CpGs: 9661099-9661100
cg07739478,chr6:31724457-31724458 - 2bp, 1CpGs: 9661098-9661099
cg07449758,chr6:31724523-31724524 - 2bp, 1CpGs: 9661101-9661102
cg26114961,chr6:31724518-31724519 - 2bp, 1CpGs: 9661100-9661101
cg18253799,chr17:80095392-80095393 - 2bp, 1CpGs: 24028730-24028731
cg01709045,chr6:167987708-167987709 - 2bp, 1CpGs: 10774447-10774448
cg14333800,chr6:167987684-167987685 - 2bp, 1CpGs: 10774446-10774447
cg14552882,chr8:92078854-92078855 - 2bp, 1CpGs: 13294932-13294933
cg24530527,chr7:1123296-1123297 - 2bp, 1CpGs: 10857376-10857377
cg18110590,chr13:112982365-112982366 - 2bp, 1CpGs: 19884438-19884439
cg22352169,chr1:8334341-8334342 - 2bp, 1CpGs: 179294-179295
cg25767112,chr1:8334302-8334303 - 2bp, 1CpGs: 179290-179291
cg19295840,chr17:78897608-78897609 - 2bp, 1CpGs: 23999633-23999634
cg03057173,chr16:57518144-57518145 - 2bp, 1CpGs: 22428426-22428427
cg19327049,chr12:132730186-132730187 - 2bp, 1CpGs: 19066761-19066762
cg01901624,chr12:132730136-132730137 - 2bp, 1CpGs: 19066757-19066758
cg13021479,chr17:8476980-8476981 - 2bp, 1CpGs: 23043197-23043198
cg08314543,chr17:8476960-8476961 - 2bp, 1CpGs: 23043193-23043194
cg14181009,chr9:129876257-129876258 - 2bp, 1CpGs: 14840615-14840616
cg05561386,chr17:78459020-78459021 - 2bp, 1CpGs: 23990552-23990553
cg10192483,chr7:77002922-77002923 - 2bp, 1CpGs: 11674762-11674763
cg07209034,chr16:72425926-72425927 - 2bp, 1CpGs: 22590045-22590046
cg27088725,chr16:72425897-72425898 - 2bp, 1CpGs: 22590043-22590044
cg02300356,chr1:2096544-2096545 - 2bp, 1CpGs: 54030-54031
cg05945584,chr5:688371-688372 - 2bp, 1CpGs: 7762580-7762581
cg09563846,chr11:875758-875759 - 2bp, 1CpGs: 16453518-16453519
cg27047577,chr1:1537813-1537814 - 2bp, 1CpGs: 35650-35651
cg01536190,chr1:1537767-1537768 - 2bp, 1CpGs: 35645-35646
cg17854981,chr7:100676849-100676850 - 2bp, 1CpGs: 11859858-11859859
cg04145522,chr16:87705227-87705228 - 2bp, 1CpGs: 22798688-22798689
cg08922090,chr16:87696994-87696995 - 2bp, 1CpGs: 22798369-22798370
cg11068784,chr4:2275986-2275987 - 2bp, 1CpGs: 6295837-6295838
cg06554342,chr4:2276025-2276026 - 2bp, 1CpGs: 6295842-6295843
cg21520607,chr20:63569501-63569502 - 2bp, 1CpGs: 26734002-26734003
cg23957118,chr20:63569497-63569498 - 2bp, 1CpGs: 26734001-26734002
cg19453893,chr5:16794731-16794732 - 2bp, 1CpGs: 7939291-7939292
cg11203538,chr5:16794688-16794689 - 2bp, 1CpGs: 7939286-7939287
cg05791870,chr16:86657-86658 - 2bp, 1CpGs: 21723596-21723597
cg08447380,chr8:8328187-8328188 - 2bp, 1CpGs: 12562251-12562252
cg25124228,chr12:125136863-125136864 - 2bp, 1CpGs: 18951949-18951950
cg25454298,chr7:151118358-151118359 - 2bp, 1CpGs: 12309441-12309442
cg03445663,chr2:241230821-241230822 - 2bp, 1CpGs: 4547050-4547051
cg09235936,chr2:241230796-241230797 - 2bp, 1CpGs: 4547047-4547048
cg06161317,chr16:88532117-88532118 - 2bp, 1CpGs: 22821850-22821851
cg20392203,chr7:596953-596954 - 2bp, 1CpGs: 10839677-10839678
cg27462820,chr7:596946-596947 - 2bp, 1CpGs: 10839676-10839677
cg19453893,chr5:16794731-16794732 - 2bp, 1CpGs: 7939291-7939292
cg11203538,chr5:16794688-16794689 - 2bp, 1CpGs: 7939286-7939287
cg05527091,chr1:1110944-1110945 - 2bp, 1CpGs: 18302-18303
cg26275858,chr10:129896425-129896426 - 2bp, 1CpGs: 16342027-16342028
cg20800606,chr10:129896411-129896412 - 2bp, 1CpGs: 16342024-16342025
cg24954453,chr5:780434-780435 - 2bp, 1CpGs: 7764484-7764485
cg21544818,chr5:780445-780446 - 2bp, 1CpGs: 7764485-7764486
cg02674562,chr19:17727045-17727046 - 2bp, 1CpGs: 25301717-25301718
cg00900231,chr16:50863360-50863361 - 2bp, 1CpGs: 22362477-22362478
cg04600253,chr16:50863332-50863333 - 2bp, 1CpGs: 22362473-22362474
cg14563129,chr8:140280089-140280090 - 2bp, 1CpGs: 13670418-13670419
cg27617132,chr10:132730367-132730368 - 2bp, 1CpGs: 16395944-16395945
cg20182983,chr12:122986369-122986370 - 2bp, 1CpGs: 18909800-18909801
cg10201874,chr2:219547884-219547885 - 2bp, 1CpGs: 4289719-4289720
cg21577007,chr18:57648616-57648617 - 2bp, 1CpGs: 24647135-24647136
cg16771467,chr18:57648640-57648641 - 2bp, 1CpGs: 24647140-24647141
cg16184737,chr7:2640337-2640338 - 2bp, 1CpGs: 10903259-10903260
cg02969343,chr2:11023829-11023830 - 2bp, 1CpGs: 2516618-2516619
cg00697668,chr14:105151238-105151239 - 2bp, 1CpGs: 20785542-20785543
cg15914316,chr7:2043562-2043563 - 2bp, 1CpGs: 10886014-10886015
cg18483265,chr7:2043546-2043547 - 2bp, 1CpGs: 10886012-10886013
cg02192555,chr8:10095416-10095417 - 2bp, 1CpGs: 12582972-12582973
cg26880445,chr8:10095455-10095456 - 2bp, 1CpGs: 12582974-12582975
cg08351911,chr16:88883667-88883668 - 2bp, 1CpGs: 22834089-22834090
cg10313879,chr1:2168996-2168997 - 2bp, 1CpGs: 56333-56334
cg19754536,chr21:31251958-31251959 - 2bp, 1CpGs: 26981048-26981049
cg03760035,chr21:31251990-31251991 - 2bp, 1CpGs: 26981050-26981051
cg00864551,chr7:151809419-151809420 - 2bp, 1CpGs: 12322541-12322542
cg03445663,chr2:241230821-241230822 - 2bp, 1CpGs: 4547050-4547051
cg24428851,chr2:241230751-241230752 - 2bp, 1CpGs: 4547043-4547044
cg09235936,chr2:241230796-241230797 - 2bp, 1CpGs: 4547047-4547048
cg12894883,chr22:21934101-21934102 - 2bp, 1CpGs: 27379194-27379195
cg26285749,chr22:21934136-21934137 - 2bp, 1CpGs: 27379196-27379197
cg01141572,chr4:145761420-145761421 - 2bp, 1CpGs: 7381418-7381419
cg22617898,chr19:18202578-18202579 - 2bp, 1CpGs: 25313424-25313425
cg09998451,chr19:18202619-18202620 - 2bp, 1CpGs: 25313429-25313430
cg13903917,chr12:124419968-124419969 - 2bp, 1CpGs: 18936417-18936418
cg26593722,chr16:87342708-87342709 - 2bp, 1CpGs: 22789236-22789237
cg01230254,chr16:87342744-87342745 - 2bp, 1CpGs: 22789239-22789240
cg11676546,chr8:60852909-60852910 - 2bp, 1CpGs: 13078966-13078967
cg19525418,chr8:60852873-60852874 - 2bp, 1CpGs: 13078963-13078964
cg23366979,chr5:6411397-6411398 - 2bp, 1CpGs: 7847443-7847444
cg14794786,chr7:151118233-151118234 - 2bp, 1CpGs: 12309429-12309430
cg11115134,chr2:149010291-149010292 - 2bp, 1CpGs: 3755214-3755215
cg22868225,chr1:2084376-2084377 - 2bp, 1CpGs: 53557-53558
cg27465384,chr16:1385425-1385426 - 2bp, 1CpGs: 21771885-21771886
cg11515873,chr6:32149624-32149625 - 2bp, 1CpGs: 9670670-9670671
cg18501647,chr6:32149602-32149603 - 2bp, 1CpGs: 9670668-9670669
cg11724750,chr6:163137791-163137792 - 2bp, 1CpGs: 10714162-10714163
cg20392203,chr7:596953-596954 - 2bp, 1CpGs: 10839677-10839678
cg27462820,chr7:596946-596947 - 2bp, 1CpGs: 10839676-10839677
cg05656763,chr12:132542184-132542185 - 2bp, 1CpGs: 19060512-19060513
cg20306425,chr17:2696495-2696496 - 2bp, 1CpGs: 22935279-22935280
cg10479243,chr17:2696529-2696530 - 2bp, 1CpGs: 22935284-22935285
cg16757605,chr16:70663809-70663810 - 2bp, 1CpGs: 22569495-22569496
cg19297537,chr10:69382613-69382614 - 2bp, 1CpGs: 15722821-15722822
cg25104118,chr12:125136798-125136799 - 2bp, 1CpGs: 18951944-18951945
cg21035402,chr19:35944641-35944642 - 2bp, 1CpGs: 25560131-25560132
cg26728390,chr8:144552397-144552398 - 2bp, 1CpGs: 13773246-13773247
cg11688548,chr12:1380366-1380367 - 2bp, 1CpGs: 17780341-17780342
cg00001687,chr16:89695253-89695254 - 2bp, 1CpGs: 22859227-22859228
cg01018360,chr16:88623086-88623087 - 2bp, 1CpGs: 22824483-22824484
cg27125505,chr17:45601811-45601812 - 2bp, 1CpGs: 23573590-23573591
cg20229025,chr11:971902-971903 - 2bp, 1CpGs: 16456056-16456057
cg00071984,chr3:60631771-60631772 - 2bp, 1CpGs: 5131759-5131760
cg04404310,chr12:132315547-132315548 - 2bp, 1CpGs: 19052669-19052670
cg27437510,chr7:151120110-151120111 - 2bp, 1CpGs: 12309498-12309499
cg00850612,chr1:6071616-6071617 - 2bp, 1CpGs: 136390-136391
cg19697584,chr6:158033606-158033607 - 2bp, 1CpGs: 10655547-10655548
cg10706293,chr17:21017404-21017405 - 2bp, 1CpGs: 23209702-23209703
cg22078907,chr17:21017443-21017444 - 2bp, 1CpGs: 23209705-23209706
cg01834160,chr16:70679664-70679665 - 2bp, 1CpGs: 22569804-22569805
cg02402630,chr16:87705017-87705018 - 2bp, 1CpGs: 22798671-22798672
cg03051577,chr14:102900650-102900651 - 2bp, 1CpGs: 20733994-20733995
cg17842912,chr5:139681334-139681335 - 2bp, 1CpGs: 8877772-8877773
cg03977237,chr5:139681337-139681338 - 2bp, 1CpGs: 8877773-8877774
cg18401451,chr21:44956579-44956580 - 2bp, 1CpGs: 27178296-27178297
cg23617848,chr12:130967752-130967753 - 2bp, 1CpGs: 19021825-19021826
cg03776878,chr12:130967747-130967748 - 2bp, 1CpGs: 19021824-19021825
cg13504346,chr7:2142547-2142548 - 2bp, 1CpGs: 10889256-10889257
cg10074347,chr7:2142518-2142519 - 2bp, 1CpGs: 10889254-10889255
cg08097929,chr16:2109096-2109097 - 2bp, 1CpGs: 21796522-21796523
cg02009103,chr10:101006629-101006630 - 2bp, 1CpGs: 16032005-16032006
cg03072616,chr19:18857410-18857411 - 2bp, 1CpGs: 25330820-25330821
cg02013146,chr16:89385851-89385852 - 2bp, 1CpGs: 22850038-22850039
cg03484438,chr16:89385829-89385830 - 2bp, 1CpGs: 22850037-22850038
cg11817453,chr19:8399966-8399967 - 2bp, 1CpGs: 25116452-25116453
cg22262702,chr20:62063623-62063624 - 2bp, 1CpGs: 26687170-26687171
cg07706515,chr7:4791276-4791277 - 2bp, 1CpGs: 10938048-10938049
cg13934553,chr1:6470555-6470556 - 2bp, 1CpGs: 147476-147477
cg09121928,chr16:75237281-75237282 - 2bp, 1CpGs: 22625103-22625104
cg18653560,chr13:113064139-113064140 - 2bp, 1CpGs: 19887117-19887118
cg04874343,chr13:113064091-113064092 - 2bp, 1CpGs: 19887112-19887113
cg02884588,chr19:539155-539156 - 2bp, 1CpGs: 24888652-24888653
cg26428731,chr1:34868751-34868752 - 2bp, 1CpGs: 579885-579886
cg04031507,chr1:34868758-34868759 - 2bp, 1CpGs: 579886-579887
cg18403285,chr11:1295804-1295805 - 2bp, 1CpGs: 16466164-16466165
cg03309978,chr13:113093941-113093942 - 2bp, 1CpGs: 19888205-19888206
cg22308467,chr12:111363183-111363184 - 2bp, 1CpGs: 18750240-18750241
cg24428851,chr2:241230751-241230752 - 2bp, 1CpGs: 4547043-4547044
cg09235936,chr2:241230796-241230797 - 2bp, 1CpGs: 4547047-4547048
cg15365028,chr2:235534173-235534174 - 2bp, 1CpGs: 4447540-4447541
cg18592294,chr19:2790477-2790478 - 2bp, 1CpGs: 24975215-24975216
cg26301689,chr3:142962862-142962863 - 2bp, 1CpGs: 5784325-5784326
cg18536123,chr17:28367918-28367919 - 2bp, 1CpGs: 23321671-23321672
cg26453360,chr11:46719823-46719824 - 2bp, 1CpGs: 16865248-16865249
cg09004691,chr11:46719855-46719856 - 2bp, 1CpGs: 16865250-16865251
cg03483654,chr11:61334602-61334603 - 2bp, 1CpGs: 17003051-17003052
cg13309174,chr11:61334573-61334574 - 2bp, 1CpGs: 17003048-17003049
cg03610629,chr11:611114-611115 - 2bp, 1CpGs: 16443903-16443904
cg12888113,chr1:11046991-11046992 - 2bp, 1CpGs: 228829-228830
cg20986726,chr1:11046988-11046989 - 2bp, 1CpGs: 228828-228829
cg08411881,chr7:1923468-1923469 - 2bp, 1CpGs: 10882263-10882264
cg10571824,chr7:1923508-1923509 - 2bp, 1CpGs: 10882269-10882270
cg16773043,chr7:1923513-1923514 - 2bp, 1CpGs: 10882270-10882271
cg19525780,chr14:105497906-105497907 - 2bp, 1CpGs: 20796919-20796920
cg17124478,chr6:14283951-14283952 - 2bp, 1CpGs: 9474069-9474070
cg12050054,chr14:105497319-105497320 - 2bp, 1CpGs: 20796895-20796896
cg25007781,chr14:105497273-105497274 - 2bp, 1CpGs: 20796892-20796893
cg24153754,chr5:150521625-150521626 - 2bp, 1CpGs: 8982000-8982001
cg19879265,chr14:105497435-105497436 - 2bp, 1CpGs: 20796903-20796904
cg11316510,chr17:40354318-40354319 - 2bp, 1CpGs: 23484172-23484173
cg12190841,chr17:40354358-40354359 - 2bp, 1CpGs: 23484177-23484178
cg27197524,chr12:132672692-132672693 - 2bp, 1CpGs: 19064961-19064962
cg16956999,chr12:132672655-132672656 - 2bp, 1CpGs: 19064958-19064959
cg20361429,chr12:132672722-132672723 - 2bp, 1CpGs: 19064964-19064965
cg25074170,chr4:186167015-186167016 - 2bp, 1CpGs: 7695670-7695671
cg14477780,chr4:186167037-186167038 - 2bp, 1CpGs: 7695674-7695675
